Date,Open,High,Low,Close,Adj Close,Volume
2016/2/16,891.5,913.802002,880,891,871.745117,2726301
2016/2/17,931,950,887,903,883.485718,3004358
2016/2/18,910,910,863.5,871,852.177307,3374782
2016/2/19,864,864,821.5,849,830.65271,3112269
2016/2/22,855.5,858,831,851.5,833.098633,1991695
2016/2/23,857,857.5,815.5,817.5,799.833435,1888050
2016/2/24,825,842,794.5,824,806.192993,2203971
2016/2/25,820,843.5,811,831,813.041687,1854934
2016/2/26,835,853.5,819,846.5,828.206726,1033142
2016/2/29,833,888.5,828,888.5,869.299072,4846973
2016/3/1,880,899,861.5,882.5,863.428772,2051008
2016/3/2,876.5,895.5,876.5,895.5,876.147827,1693309
2016/3/3,903.5,922,874.5,882.5,863.428772,1204804
2016/3/4,912,912,867.5,900.5,881.039795,900018
2016/3/7,896.5,923.5,896.5,906.5,886.910095,927452
2016/3/8,921.5,934,904.5,932.5,912.348267,990994
2016/3/9,941,949,916,942,921.642944,716613
2016/3/10,951.5,962,932,934.5,914.304993,786701
2016/3/11,937,950,914.5,925,905.010315,729906
2016/3/14,930,932.5,899.5,909.5,889.845276,798855
2016/3/15,890,890,845.5,856,837.501404,3057559
2016/3/16,867,868.5,843,851,832.609558,1041447
2016/3/17,868,884.5,850,854.5,836.033875,1555433
2016/3/18,860.5,860.5,836,860,841.414978,10009053
2016/3/21,853.5,864.5,853,857,838.479797,821907
2016/3/22,857.5,868,853,865,846.307007,1875702
2016/3/23,863,891,863,884.5,865.385559,1673702
2016/3/24,879,881.5,853,854.5,836.033875,858787
2016/3/29,854.5,883.5,854.5,883.5,864.407166,647050
2016/3/30,905.5,908.5,891.5,903,883.485718,1037410
2016/3/31,902.5,916.690002,890.5,896,876.636963,894816
2016/4/1,891,900,882,898,878.593811,925810
2016/4/4,904.5,945,900.799988,928.5,908.434692,1090073
2016/4/5,923.5,924,908.5,920,900.118286,809661
2016/4/6,918.5,927,910.5,921,901.096741,715244
2016/4/7,928,938.5,912.5,919,899.140015,619829
2016/4/8,919,925.5,910,922,902.075134,486159
2016/4/11,919.5,942.5,915.934021,934.5,914.304993,811817
2016/4/12,937,940,929.5,938,917.72937,444085
2016/4/13,940.5,952,935,952,931.42688,557578
2016/4/14,957.5,969,953.5,966,945.124329,1706634
2016/4/15,967,967,938.5,942.5,922.132141,930879
2016/4/18,940,941.5,929,933.5,913.326599,583209
2016/4/19,931.5,938.5,898,900.5,881.039795,1344227
2016/4/20,901,921.5,899,920.5,900.607605,720734
2016/4/21,919,922.40802,903.5,919,899.140015,879097
2016/4/22,916,916.5,906.5,909,889.356079,695183
2016/4/25,910.5,919.5,903.5,910,890.334534,691021
2016/4/26,908,915,906.5,910,890.334534,523275
2016/4/27,905.5,911,902.5,907.5,887.888489,344445
2016/4/28,901,912,895.5,908.5,888.866943,540682
2016/4/29,904.5,915.5,901.5,905,885.442505,801972
2016/5/3,905,907.5,883.5,888,868.809875,796599
2016/5/4,885,886,875,880,860.982788,652504
2016/5/5,882,884,869,871,852.177307,661274
2016/5/6,870.5,876.5,860,873,854.134094,749879
2016/5/9,875.5,882.5,860,865.5,846.796082,444866
2016/5/10,872,877,862,874,855.112427,629342
2016/5/11,874,886.5,866.5,876.5,857.558472,471986
2016/5/12,877.5,883.5,866.5,877.5,858.536804,992605
2016/5/13,875,876.5,830,835.5,817.444458,1130970
2016/5/16,830.5,835,814,829.5,811.574097,1125409
2016/5/17,831.5,834,820.5,830,812.063354,1415120
2016/5/18,828.5,830,816,830,812.063354,1280485
2016/5/19,827,833,818.5,825,807.171387,982580
2016/5/20,826.5,847.5,826.5,846.5,828.206726,873361
2016/5/23,848.5,853,845,852,833.587891,609993
2016/5/24,846.5,865.5,839,857,838.479797,768226
2016/5/25,857.5,876,852.5,855.5,837.012268,957957
2016/5/26,855.5,875,855.5,868,849.242126,861494
2016/5/27,867.5,873,861,870.5,851.687988,746470
2016/5/31,870.5,878.5,859,866.5,847.774536,1220454
2016/6/1,870,888,870,883.5,864.407166,914957
2016/6/2,881,888,879,879.5,860.493591,655412
2016/6/3,881,896.5,881,889,869.78833,550567
2016/6/6,894,920,891,915.5,895.715576,2339409
2016/6/7,914.5,922,902.5,905,885.442505,961431
2016/6/8,901,918,898.5,913,893.269714,693848
2016/6/9,911,912,893.5,894.5,875.169373,476658
2016/6/10,898,899,874.5,882.5,863.428772,532831
2016/6/13,883,891,875.5,876,857.069214,691264
2016/6/14,878,878,863,866,847.285339,1020037
2016/6/15,866,893.5,866,885.5,866.363892,1216653
2016/6/16,850,877.5,849.5,853,839.534241,989291
2016/6/17,863,869.5,843.5,850,836.581604,2644678
2016/6/20,871.5,897.5,865,892.5,878.410706,1336786
2016/6/21,891,926,890,923,908.429199,1789188
2016/6/22,931,945,924.5,938.5,923.68457,980180
2016/6/23,953.5,954.5,938,952.5,937.463562,854928
2016/6/24,940,992,909.5,986,970.434692,2018487
2016/6/27,978.5,1028,978.5,982.5,966.989868,1377777
2016/6/28,1000,1045,997,1045,1028.503296,1392387
2016/6/29,1059,1084,1051,1084,1066.887573,1194696
2016/6/30,1089,1108,1068,1095,1077.713989,1319349
2016/7/1,1100,1103,1069,1095,1077.713989,1167807
2016/7/4,1101,1101,1076,1087,1069.840332,637257
2016/7/5,1082,1104,1074,1100,1082.63501,1538911
2016/7/6,1103,1119,1097,1106,1088.540283,1167342
2016/7/7,1114,1125,1090,1100,1082.63501,1162245
2016/7/8,1102,1110,1083,1109,1091.493042,1114807
2016/7/11,1095,1120,1095,1116,1098.382446,980852
2016/7/12,1110,1113,1054,1060,1043.266357,1634372
2016/7/13,1049,1079,1047,1073,1056.061279,1202966
2016/7/14,1074,1081,1057,1066,1049.171753,1386388
2016/7/15,1069,1070,1044,1069,1052.12439,791021
2016/7/18,1063,1070,1057,1066,1049.171753,812300
2016/7/19,1068,1079,1053,1074,1057.04541,711513
2016/7/20,1070,1092,1070,1076,1059.013916,748836
2016/7/21,1072,1093,1066.439941,1087,1069.840332,917349
2016/7/22,1079,1103,1078,1097,1079.682373,960064
2016/7/25,1089,1092,1080,1083,1065.90332,639474
2016/7/26,1089,1095,1082,1087,1069.840332,1015795
2016/7/27,1093,1094,1066,1068,1051.140259,4933976
2016/7/28,1075,1075,1063,1063,1046.219238,889234
2016/7/29,1066,1074,1056,1074,1057.04541,911796
2016/8/1,1074,1081,1047,1059,1042.282227,1054445
2016/8/2,1052,1056,1034,1045,1028.503296,1467221
2016/8/3,1041,1070,1041,1059,1042.282227,930336
2016/8/4,1059,1077,1048,1072,1055.077026,979627
2016/8/5,1067,1089,1066,1080,1062.950684,547557
2016/8/8,1086,1087,1070,1076,1059.013916,506631
2016/8/9,1081,1095,1069,1094,1076.729736,489737
2016/8/10,1091,1101,1089,1101,1083.619263,686504
2016/8/11,1096,1104,1091,1104,1086.571777,641938
2016/8/12,1100,1106,1091,1098,1080.666626,682094
2016/8/15,1104,1124,1103,1119,1101.335083,653688
2016/8/16,1111,1122,1109,1110,1092.477295,688049
2016/8/17,1101,1108,1084,1091,1073.777222,1178236
2016/8/18,1096,1102,1085,1090,1072.792969,650404
2016/8/19,1094,1103,1082,1097,1079.682373,613983
2016/8/22,1096,1096,1075,1086,1068.856079,794022
2016/8/23,1084,1088,1064,1068,1051.140259,878935
2016/8/24,1061,1062,1013,1025,1008.81897,1461670
2016/8/25,1020,1041,1020,1029,1012.75592,789459
2016/8/26,1029,1045,1026,1040,1023.582275,758349
2016/8/30,1040,1046,1032,1032,1015.708496,670943
2016/8/31,1033,1041,1022,1022,1005.866394,923180
2016/9/1,1029,1029,996,1000,984.213684,901712
2016/9/2,1001,1037,999,1036,1019.645264,1384604
2016/9/5,1039,1047,1025,1029,1012.75592,552561
2016/9/6,1053,1053,1014,1017,1000.945251,2945224
2016/9/7,1024,1042,996.5,997.5,981.753174,3663700
2016/9/8,1008,1014,958.5,964.5,949.274109,3602822
2016/9/9,935,992.5,930,979.5,964.037292,5873338
2016/9/12,944,963.5,936.5,953,937.955627,1951919
2016/9/13,965.5,965.5,935.5,936,921.22406,2233876
2016/9/14,939,947.5,936,940,925.160828,1088034
2016/9/15,936,949.5,923.5,941.5,926.637146,1480792
2016/9/16,939,939.5,918.5,919,904.49231,4720486
2016/9/19,922,935,912,933,918.271301,1527217
2016/9/20,933,952,933,940.5,925.652954,1829035
2016/9/21,947.5,949,924.5,925,910.397644,1357834
2016/9/22,930.5,942.5,925,929.5,914.826599,960294
2016/9/23,929,958,927,948,933.034607,1908437
2016/9/26,955,961,929.5,930.5,915.810791,1106052
2016/9/27,944,952,927,936,921.22406,1249074
2016/9/28,937,944.5,933,941.5,926.637146,1009016
2016/9/29,941,948,928,934.5,919.74762,1384543
2016/9/30,929,929,914,926.5,911.874023,1437451
2016/10/3,927,937.5,918,924,909.413452,1224113
2016/10/4,920.5,934.5,910.5,913,898.587097,2985557
2016/10/5,914,914,896,900,885.792297,1309647
2016/10/6,902.5,902.5,888,889,874.966003,1170707
2016/10/7,892.5,919,884,909,894.650208,1285990
2016/10/10,915,922.5,910.5,918,903.508118,1201150
2016/10/11,916,916.5,895.674988,898.5,884.315979,1270133
2016/10/12,895,900,886,894,879.887024,1258967
2016/10/13,892.5,895.5,878.5,885.5,871.521179,1122155
2016/10/14,882.5,927,882.5,914.5,900.063354,1491941
2016/10/17,921.5,921.5,896,896.5,882.347534,1162739
2016/10/18,897,908,895,898,883.823792,823988
2016/10/19,895,905.5,892.72998,896,881.855469,944749
2016/10/20,895,901.5,887.5,893,878.902771,651794
2016/10/21,891,924,890,919,904.49231,1655123
2016/10/24,920,926.900024,910.5,910.5,896.126526,896105
2016/10/25,911.5,923,902.198975,903.5,889.237061,1146782
2016/10/26,900,911,879.5,886.5,872.505432,1227144
2016/10/27,882,895.5,880,888,873.98175,1011320
2016/10/28,884.5,892.5,877,887,872.997498,1373252
2016/10/31,887.5,908.5,877,906.5,892.189697,1799813
2016/11/1,909.5,925.5,901.5,913,898.587097,1604705
2016/11/2,907.5,920.5,903,911,896.618591,1516651
2016/11/3,909.5,915.5,895.5,897.5,883.331726,1314431
2016/11/4,888,888,868.26001,878,864.139587,1746216
2016/11/7,887,907,884.5,907,892.681763,1674380
2016/11/8,910,935,910,932,917.287109,1560067
2016/11/9,909,941.5,904,920,905.476563,1709135
2016/11/10,900,914,768.5,776,763.749817,5680568
2016/11/11,795,795,731.5,761,748.986572,4178703
2016/11/14,770.5,770.5,729,740,728.318054,2602674
2016/11/15,746,757.5,743,749,737.176025,2546360
2016/11/16,747,753.5,738,747.5,735.699768,1715131
2016/11/17,754.5,760.5,749.5,757,745.049805,1482627
2016/11/18,760,768,743.5,754.5,742.589233,2280127
2016/11/21,753.5,759,741,747,735.207581,1466081
2016/11/22,756.5,756.5,729,730.5,718.968018,1438591
2016/11/23,728.5,740,723,732.5,720.936462,1047150
2016/11/24,726.5,729.5,721.5,724,715.697327,1107191
2016/11/25,739.5,742,723,732.5,724.099854,1356960
2016/11/28,736,739.5,722,722.5,714.214478,1085488
2016/11/29,726.5,730,699,702.5,694.443848,2154045
2016/11/30,707,718,704,709.5,701.363586,1929246
2016/12/1,707.5,714,688.5,690.5,682.581421,1475942
2016/12/2,682.5,692,675.5,685,677.144531,1676724
2016/12/5,687,692,683,691.5,683.570007,1119518
2016/12/6,695,703,689.012024,698,689.995483,1436791
2016/12/7,698,710,695.5,709,700.869324,1416201
2016/12/8,710.5,715,697.408997,704.5,696.420898,1341535
2016/12/9,707,743,707,737,728.548218,1634306
2016/12/12,734,745,728.5,729,720.639954,1362382
2016/12/13,732.5,744,729.299988,744,735.467957,1355889
2016/12/14,745,756,738.5,744.5,735.962219,1821304
2016/12/15,728,731.5,718,724,715.697327,1915718
2016/12/16,727,732,715.5,725,716.685791,1228173
2016/12/19,731.5,743,731.5,738.5,730.031006,892803
2016/12/20,746,763.5,742.5,753,744.364746,879612
2016/12/21,759.5,764.5,748.5,751.5,742.881897,1078505
2016/12/22,750.5,753,745.5,747,738.433533,627000
2016/12/23,748.5,754.5,747,752,743.37616,252731
2016/12/28,752,767,752,762.5,753.755737,897775
2016/12/29,766.5,779.5,765,773,764.135376,658199
2016/12/30,774.5,779.840027,765.5,771,762.158264,426109
2017/1/3,771,778.5,766.5,768.5,759.686951,790762
2017/1/4,770.5,773.5,765.5,772,763.146851,488517
2017/1/5,773,782,773,779,770.066589,829631
2017/1/6,776.5,786.5,775,786.5,777.48053,831334
2017/1/9,782.5,787.5,770,781.5,772.537903,824003
2017/1/10,781.5,791,781.5,786.5,777.48053,1034336
2017/1/11,785.5,788.5,780.5,785.5,776.492004,1360938
2017/1/12,787,791.5,771.5,791,781.928955,1526149
2017/1/13,790.5,796.5,778.106995,792,782.91748,681336
2017/1/16,794.5,811.5,794.5,806,796.756897,601144
2017/1/17,808.5,814.5,796.5,796.5,787.365906,978134
2017/1/18,798.5,800.5,789.5,797.5,788.35437,670916
2017/1/19,793,793.5,784.5,793,783.906006,680885
2017/1/20,790,793.5,781,789.5,780.446167,829590
2017/1/23,784.5,787.5,780,786,776.986267,552884
2017/1/24,791,800.5,785,797.5,788.35437,886455
2017/1/25,800,807.5,797.5,802,792.802795,985584
2017/1/26,801.5,813,799,807,797.745483,628328
2017/1/27,811,824,801,810.5,801.205322,720439
2017/1/30,793.5,795,783,788,778.963379,772186
2017/1/31,794.5,796.5,783,785,775.997803,1398519
2017/2/1,785,785,761.5,761.5,752.767273,1555762
2017/2/2,760,768.5,759,765,756.227112,1132819
2017/2/3,770.5,792.5,765.5,788.5,779.457581,1299700
2017/2/6,801,817,795.5,804,794.779846,988416
2017/2/7,803,810.5,800.5,801.5,792.308533,1269213
2017/2/8,788.5,805.5,788,805.5,796.262695,1353010
2017/2/9,803,826.5,797.534973,825.5,816.033325,893616
2017/2/10,829.5,840.5,824.52002,835.5,825.91864,1673899
2017/2/13,834,842,828,828.5,818.998901,1144979
2017/2/14,832,839.5,818.5,820,810.596436,995359
2017/2/15,827,834,822,824.5,815.0448,1001249
2017/2/16,822.5,837,822.5,827.5,818.010376,745782
2017/2/17,831.5,834,826,828,818.504639,707332
2017/2/20,817,828,797,802,792.802795,1429163
2017/2/21,755,769.5,745.5,754,745.35321,5172375
2017/2/22,751.5,751.5,737,744.5,735.962219,3140744
2017/2/23,743.5,760.5,742.5,750.5,741.893433,1515038
2017/2/24,740.5,750.5,733.5,737.5,729.04248,1875213
2017/2/27,744,744,737.5,741,732.502319,1340515
2017/2/28,740.5,744,735.5,741.5,732.996643,1209188
2017/3/1,739,744.5,733,744.5,735.962219,1207607
2017/3/2,741.5,745.5,738,742.5,733.985107,1118233
2017/3/3,740.5,746,736.5,746,737.445007,926819
2017/3/6,742.5,745,728,734.5,726.076843,1279924
2017/3/7,733.5,734,721.5,731,722.617004,1235992
2017/3/8,728.5,745,725.5,742.5,733.985107,1461999
2017/3/9,737,739,729,737.5,729.04248,1559880
2017/3/10,736.5,747.5,729,745,736.456421,986700
2017/3/13,749,756.541992,736.442017,756.5,747.824585,1128274
2017/3/14,760.5,761,748.5,756,747.330322,924751
2017/3/15,748.5,756,744.5,753.5,744.859009,758755
2017/3/16,760.5,772.570007,760,772.5,763.641113,1915739
2017/3/17,771.5,772,759.5,767,758.204163,1645384
2017/3/20,768,768.5,762,767.5,758.698486,673036
2017/3/21,765,768,758.5,762,753.261536,717227
2017/3/22,760.5,762.5,752,761,752.27301,804093
2017/3/23,762,768.5,757.5,765.5,756.721375,672765
2017/3/24,765,769.5,757.5,763,754.250061,772940
2017/3/27,765.5,767.5,755.5,765,756.227112,879726
2017/3/28,766.5,776,759,772,763.146851,1747467
2017/3/29,772,784.5,768.5,782.5,773.526367,1540365
2017/3/30,778.5,791.5,758,759,750.295959,1328572
2017/3/31,756.5,758,712,712,703.8349,2304258
2017/4/3,711.5,732.744995,703.5,710.5,702.352112,1834033
2017/4/4,705,712.536011,689.75,691,683.075745,2652008
2017/4/5,692.5,692.5,674.75,679,671.213318,3783524
2017/4/6,675.5,683.5,666.5,683.5,675.661743,1921734
2017/4/7,680.5,704,680,699.5,691.47821,1464837
2017/4/10,706.5,733.5,701,724.5,716.191589,2292984
2017/4/11,726,730.349976,722.5,723.5,715.203003,1716645
2017/4/12,724.5,740,724.5,736.5,728.053894,1411826
2017/4/13,738.5,772,738.5,759.5,750.790161,1859322
2017/4/18,759.5,764.280029,737.5,739,730.52533,1560913
2017/4/19,738.5,741.419983,723,728,719.651428,1337257
2017/4/20,722,731.5,722,729,720.639954,837606
2017/4/21,727,729,719.5,724.5,716.191589,1064062
2017/4/24,738,751,735,744.5,735.962219,1026384
2017/4/25,748.5,748.5,736.5,742.5,733.985107,837524
2017/4/26,744.5,750,730.5,731,722.617004,936321
2017/4/27,755,888,741,859,849.149109,4933925
2017/4/28,858.5,860.700012,810,821,811.5849,4224073
2017/5/2,824.5,852.75,823.5,834,824.435852,2413477
2017/5/3,839.5,839.5,816,820,810.596436,1635517
2017/5/4,814.5,819,799.5,814,804.665222,1873560
2017/5/5,809.5,815,792.5,807.5,798.239746,1616034
2017/5/8,806.5,815.5,802,808.5,799.22821,1222996
2017/5/9,804,820.5,798,820.5,811.090637,1074244
2017/5/10,814.5,834,814.5,830,820.481689,1174156
2017/5/11,828.5,842,828.5,839.5,829.872742,1203742
2017/5/12,841.5,855.5,838,847.5,837.781006,1061956
2017/5/15,845.5,858,844.5,854,844.206482,1133786
2017/5/16,852,867,852,856.5,846.677795,1108215
2017/5/17,850.5,862,848.5,858.5,848.654846,1095306
2017/5/18,857.5,871.5,852,871,861.011536,1755919
2017/5/19,866.5,880.5,864.5,876.5,866.448425,1735461
2017/5/22,874,890.179993,874,887,876.828003,1160722
2017/5/23,882.5,882.5,862.5,869,859.034485,1965233
2017/5/24,847.5,863.5,812.5,813,803.676636,2010400
2017/5/25,820,824,796.5,808.5,799.22821,2006593
2017/5/26,808.5,817.5,799,816,806.642273,1770902
2017/5/30,816,816,781.5,789.5,780.446167,1716619
2017/5/31,795.5,809,791.5,808.5,799.22821,2270729
2017/6/1,792,792,772.5,781,772.04364,2628521
2017/6/2,780.5,799,776,797.5,788.35437,1897529
2017/6/5,797.5,801.5,785,796,786.871643,1156197
2017/6/6,796.5,798,778,783,774.020691,1746364
2017/6/7,775,789.5,775,789.5,780.446167,1983522
2017/6/8,792.5,792.5,779,781.5,772.537903,1620894
2017/6/9,783,795.5,781.5,795.5,786.377319,1015171
2017/6/12,790,810,785,804,794.779846,943959
2017/6/13,805,819,805,812.5,803.182373,1029301
2017/6/14,816.5,818.5,803.5,809,799.722534,1651210
2017/6/15,809,809.5,778,779.5,770.560852,1758185
2017/6/16,784,798,782.5,794.5,785.388794,1898577
2017/6/19,799.5,796,776,793,783.906006,866967
