Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,4309.669922,4328.609863,4246.990234,4296.609863,4023.771240,69263
2015-02-24,4296.609863,4382.799805,4257.430176,4380.189941,4102.044434,206774
2015-02-25,4390.640137,4429.819824,4361.910156,4408.919922,4128.949707,191358
2015-02-26,4382.799805,4440.270020,4382.799805,4435.040039,4153.411621,238256
2015-02-27,4414.140137,4560.410156,4401.089844,4549.970215,4261.043457,253138
2015-03-02,4573.479980,4596.979980,4505.040039,4589.140137,4297.726074,187252
2015-03-03,4531.680176,4591.100098,4530.759766,4555.189941,4265.931641,286662
2015-03-04,4531.680176,4691.009766,4531.680176,4664.890137,4368.666504,164375
2015-03-05,5069.740234,5511.160156,4962.660156,5498.089844,5148.957031,991267
2015-03-06,5458.910156,5720.109863,5364.890137,5396.229980,5053.564453,283374
2015-03-09,5364.890137,5696.600098,5357.060059,5631.299805,5273.707031,261413
2015-03-10,5555.560059,5654.810059,5547.720215,5563.390137,5210.110352,226387
2015-03-11,5610.410156,5636.520020,5451.080078,5558.169922,5205.222168,166028
2015-03-12,5518.990234,5699.209961,5490.259766,5589.509766,5332.428711,154900
2015-03-13,5628.689941,5746.220215,5566.660156,5665.259766,5404.694824,259663
2015-03-16,5709.660156,5850.700195,5649.189941,5806.299805,5539.248047,135103
2015-03-17,5855.919922,5855.919922,5691.379883,5782.790039,5516.819336,71133
2015-03-18,5743.609863,5835.029785,5743.609863,5811.520020,5544.228516,113738
2015-03-19,5848.089844,5848.089844,5657.419922,5735.779785,5471.971680,121860
2015-03-20,5772.339844,5797.500000,5678.310059,5746.220215,5481.931641,154634
2015-03-23,5746.220215,5764.509766,5646.979980,5678.310059,5417.145020,163297
2015-03-24,5709.660156,5876.819824,5678.310059,5798.470215,5531.778809,234771
2015-03-25,5754.069824,5916.000000,5722.720215,5829.810059,5561.676270,217570
2015-03-26,5829.810059,5829.810059,5714.879883,5814.129883,5546.718262,97560
2015-03-27,5871.600098,6012.640137,5850.700195,5866.379883,5596.564453,154440
2015-03-30,5926.439941,6064.879883,5915.589844,5968.240234,5693.740234,275197
2015-03-31,6007.419922,6007.419922,5811.520020,5837.640137,5569.146484,166686
2015-04-01,5842.870117,5910.779785,5782.790039,5853.310059,5584.095215,202298
2015-04-02,5798.470215,5824.589844,5657.419922,5730.560059,5466.991699,159278
2015-04-07,5730.560059,5785.399902,5688.770020,5764.509766,5499.380371,121320
2015-04-08,5777.569824,5827.200195,5717.500000,5788.020020,5521.809082,129987
2015-04-09,5848.089844,5916.000000,5805.359863,5889.879883,5618.983398,106542
2015-04-10,5861.160156,5918.609863,5819.359863,5887.270020,5616.494141,107075
2015-04-13,5905.560059,5923.830078,5755.890137,5798.470215,5531.778809,125061
2015-04-14,5835.029785,5926.439941,5738.390137,5916.000000,5643.902344,138939
2015-04-15,5868.990234,5911.069824,5767.120117,5782.790039,5516.819336,158817
2015-04-16,5733.169922,5816.740234,5657.419922,5761.899902,5496.890137,169180
2015-04-17,5743.609863,5837.640137,5636.520020,5696.600098,5434.593262,120158
2015-04-20,5727.939941,5798.470215,5727.939941,5748.830078,5484.421875,82560
2015-04-21,5725.330078,5848.089844,5725.330078,5829.810059,5561.676270,73814
2015-04-22,5803.689941,5931.680176,5803.689941,5855.919922,5586.586426,127744
2015-04-23,5814.129883,6156.299805,5811.520020,6140.620117,5858.191406,290067
2015-04-24,6130.180176,6182.419922,6023.399902,6156.299805,5873.150391,169249
2015-04-27,6119.729980,6252.930176,6043.990234,6158.910156,5875.640625,121377
2015-04-28,6122.339844,6185.029785,6085.779785,6153.689941,5870.660156,163619
2015-04-29,6140.620117,6221.600098,6096.220215,6096.220215,5815.833984,250182
2015-04-30,6161.520020,6164.129883,5978.479980,6091.000000,5810.853516,421906
2015-05-01,6185.029785,6208.529785,6067.490234,6083.169922,5803.383789,82809
2015-05-05,6083.169922,6119.729980,5999.580078,6015.259766,5738.596680,165248
2015-05-06,5989.129883,6205.919922,5989.129883,6064.879883,5785.934570,372252
2015-05-07,6085.779785,6255.560059,6075.330078,6192.870117,5908.038086,344201
2015-05-08,6344.359863,6532.410156,6286.890137,6503.689941,6204.562500,292083
2015-05-11,6485.399902,6545.479980,6446.220215,6464.500000,6167.174805,226195
2015-05-12,6399.209961,6438.390137,6313.009766,6393.979980,6099.898438,245415
2015-05-13,6427.930176,6485.399902,6420.100098,6446.220215,6149.735840,145714
2015-05-14,6451.439941,6527.189941,6407.979980,6495.839844,6197.073242,123712
2015-05-15,6482.790039,6631.669922,6465.310059,6592.490234,6289.278320,146176
2015-05-18,5944.990234,5975.549805,5883.870117,5923.839844,5651.381836,217960
2015-05-19,5956.750000,6135.399902,5937.939941,6111.899902,5830.791992,153139
2015-05-20,6140.100098,6144.810059,6076.629883,6100.140137,5819.573730,117726
2015-05-21,6062.529785,6104.839844,6006.109863,6039.020020,5761.264648,166374
2015-05-22,5992.009766,6130.700195,5987.310059,6114.250000,5833.033691,107475
2015-05-26,6114.250000,6163.609863,6097.790039,6156.560059,5873.397949,155903
2015-05-27,6133.049805,6332.859863,6133.049805,6292.899902,6003.467285,266995
2015-05-28,6229.430176,6299.950195,6210.629883,6295.250000,6005.708984,138861
2015-05-29,6283.500000,6356.370117,6234.129883,6267.040039,5978.797363,274975
2015-06-01,6309.359863,6375.180176,6222.379883,6316.410156,6025.896973,217172
2015-06-02,6377.529785,6403.390137,6309.359863,6342.270020,6050.566895,177023
2015-06-03,6323.459961,6398.680176,6295.250000,6295.250000,6005.708984,298378
2015-06-04,6290.549805,6318.759766,6212.979980,6217.680176,5931.707031,318546
2015-06-05,6097.790039,6104.839844,5881.520020,5897.979980,5626.710938,544748
2015-06-08,5923.839844,6015.520020,5883.169922,5954.399902,5680.536133,263797
2015-06-09,5961.450195,6003.759766,5848.609863,5893.279785,5622.227051,524952
2015-06-10,5919.140137,5987.310059,5876.819824,5987.310059,5711.933105,265462
2015-06-11,6003.759766,6039.020020,5930.890137,5970.850098,5696.229980,188665
2015-06-12,5947.339844,5996.709961,5916.970215,5970.850098,5696.229980,184297
2015-06-15,5963.799805,6010.810059,5897.979980,5900.330078,5628.953125,212211
2015-06-16,5895.629883,5916.779785,5841.560059,5909.729980,5637.920898,207304
2015-06-17,5846.259766,5865.069824,5672.310059,5679.359863,5418.146484,606330
2015-06-18,5630.000000,5637.049805,5476.660156,5559.470215,5303.770508,596315
2015-06-19,5582.979980,5705.220215,5559.470215,5641.750000,5382.266602,550367
2015-06-22,5712.270020,5752.229980,5620.589844,5641.750000,5382.266602,343510
2015-06-23,5705.220215,5740.479980,5634.700195,5674.660156,5413.663086,332673
2015-06-24,5693.470215,5693.470215,5545.370117,5552.419922,5297.044434,307814
2015-06-25,5524.209961,5669.959961,5524.209961,5658.200195,5397.958984,295562
2015-06-26,5620.589844,5742.830078,5618.240234,5707.569824,5445.058594,300551
2015-06-29,5554.770020,5658.200195,5512.459961,5547.720215,5292.561523,285925
