Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,2.604510,2.604510,2.604510,2.604510,2.541847,0
2015-02-24,2.610900,2.610900,2.610900,2.610900,2.548083,0
2015-02-25,2.596740,2.596740,2.596740,2.596740,2.534263,0
2015-02-26,2.607380,2.607380,2.607380,2.607380,2.544647,0
2015-02-27,2.587300,2.587300,2.587300,2.587300,2.525050,0
2015-03-02,2.587300,2.611980,2.587300,2.611980,2.549137,0
2015-03-03,2.594670,2.594670,2.594670,2.594670,2.532243,0
2015-03-04,2.551000,2.556960,2.530000,2.541000,2.479864,1070530
2015-03-05,2.625710,2.625710,2.625710,2.625710,2.562536,0
2015-03-06,2.622570,2.622570,2.622570,2.622570,2.559472,0
2015-03-09,2.608860,2.608860,2.608860,2.608860,2.546092,0
2015-03-10,2.560810,2.560810,2.560810,2.560810,2.499198,0
2015-03-11,2.576620,2.576620,2.576620,2.576620,2.514628,0
2015-03-12,2.601980,2.601980,2.601980,2.601980,2.539378,0
2015-03-13,2.614780,2.614780,2.614780,2.614780,2.551869,0
2015-03-16,2.655780,2.655780,2.655780,2.655780,2.591883,0
2015-03-17,2.649920,2.649920,2.649920,2.649920,2.586164,0
2015-03-18,2.699200,2.699200,2.699200,2.699200,2.634258,0
2015-03-19,2.712300,2.712300,2.712300,2.712300,2.647043,0
2015-03-20,2.690000,2.715000,2.687000,2.687000,2.622352,2036507
2015-03-23,2.712760,2.712760,2.712760,2.712760,2.647492,0
2015-03-24,2.717430,2.717430,2.717430,2.717430,2.652050,0
2015-03-25,2.678980,2.678980,2.678980,2.678980,2.614525,0
2015-03-26,2.659410,2.659410,2.659410,2.659410,2.595426,0
2015-03-27,2.662260,2.662260,2.662260,2.662260,2.598207,0
2015-03-30,2.702070,2.702070,2.702070,2.702070,2.637059,0
2015-03-31,2.669300,2.669300,2.669300,2.669300,2.605078,0
2015-04-01,2.674150,2.674150,2.674150,2.674150,2.609811,0
2015-04-02,2.690000,2.690000,2.673000,2.680000,2.615520,1769237
2015-04-07,2.702560,2.702560,2.702560,2.702560,2.637538,0
2015-04-08,2.690000,2.729000,2.690000,2.721000,2.655534,1429902
2015-04-09,2.775060,2.775060,2.775060,2.775060,2.708293,0
2015-04-10,2.799310,2.799310,2.799310,2.799310,2.731960,0
2015-04-13,2.807490,2.807490,2.807490,2.807490,2.739943,0
2015-04-14,2.808000,2.828000,2.780330,2.795000,2.727753,1464716
2015-04-15,2.800000,2.810360,2.780000,2.793000,2.725801,2147682
2015-04-16,2.785000,2.800360,2.751780,2.770000,2.703355,1134853
2015-04-17,2.690530,2.690530,2.690530,2.690530,2.625797,0
2015-04-20,2.723460,2.723460,2.723460,2.723460,2.657935,0
2015-04-21,2.753290,2.753290,2.753290,2.753290,2.687047,0
2015-04-22,2.739000,2.762740,2.735000,2.756000,2.689692,959891
2015-04-23,2.727350,2.727350,2.727350,2.727350,2.661731,0
2015-04-24,2.740000,2.761000,2.732000,2.749000,2.682860,952231
2015-04-27,2.760130,2.760130,2.760130,2.760130,2.693722,0
2015-04-28,2.730060,2.730060,2.730060,2.730060,2.664376,0
2015-04-29,2.675850,2.675850,2.675850,2.675850,2.611470,0
2015-04-30,2.638800,2.638800,2.638800,2.638800,2.575312,0
2015-05-01,2.670000,2.671000,2.645000,2.664000,2.599905,1151499
2015-05-05,2.631990,2.631990,2.631990,2.631990,2.568666,0
2015-05-06,2.622990,2.622990,2.622990,2.622990,2.559882,0
2015-05-07,2.636820,2.636820,2.636820,2.636820,2.573379,0
2015-05-08,2.655230,2.655230,2.655230,2.655230,2.591347,0
2015-05-11,2.612660,2.612660,2.612660,2.612660,2.549800,0
