Date,Open,High,Low,Close,Adj Close,Volume
2015/2/23,2058,2063,2043,2057,1838.625977,635939
2015/2/24,2060,2083.699951,2055,2078,1857.396729,697889
2015/2/25,2079,2088,2054,2065,1845.776855,638138
2015/2/26,2060,2072,2020.640015,2027,1811.810913,752479
2015/2/27,2031,2039,2024.25,2031,1815.38623,623279
2015/3/2,2035,2045,2022,2026,1810.916992,606023
2015/3/3,2029,2035,1999,2011,1797.509521,786867
2015/3/4,2013,2016,1982.640015,2007,1793.934204,564468
2015/3/5,2008,2050,2003.589966,2047,1829.687744,800674
2015/3/6,2041,2052,2027,2031,1815.38623,752987
2015/3/9,2021,2027,1993,2024,1809.129395,669028
2015/3/10,2015,2031,1957,1960,1751.923584,898983
2015/3/11,1963,1981,1950.650024,1961,1752.817505,766254
2015/3/12,1963,1979,1956.560059,1967,1758.180664,581432
2015/3/13,1966,1975.199951,1932,1947,1740.303711,670703
2015/3/16,1940,1967.709961,1940,1962,1753.711304,813937
2015/3/17,1956,2005,1946,2000,1787.677368,993421
2015/3/18,2003,2044,1999,2034,1818.067749,1186039
2015/3/19,2075,2077,2044,2057,1838.625977,1254334
2015/3/20,2064,2087.100098,2053,2068,1848.458252,1269954
2015/3/23,2065,2082.449951,2058,2082,1860.971802,605951
2015/3/24,2073,2112,2073,2097,1874.379639,873876
2015/3/25,2092,2106,2077,2090,1868.122681,704060
2015/3/26,2091,2110,2079,2090,1868.122681,909735
2015/3/27,2091,2098,2077,2088,1866.335205,970388
2015/3/30,2107,2107,2073,2085,1863.653442,992311
2015/3/31,2086,2116.5,2059,2059,1840.413696,1183781
2015/4/1,2071,2095,2069,2084,1862.759644,936595
2015/4/2,2084,2105.120117,2076.540039,2097,1874.379639,595748
2015/4/7,2097,2141,2097,2137,1910.133057,808674
2015/4/8,2131,2155,2124,2136,1909.239136,612258
2015/4/9,2147,2166,2142,2166,1936.054565,777353
2015/4/10,2177,2183,2165.27002,2174,1943.2052,1083130
2015/4/13,2177,2180,2160.300049,2167,1936.948486,635362
2015/4/14,2160,2181,2158,2172,1941.41748,774741
2015/4/15,2154,2161,2135.25,2142,1914.602295,1044153
2015/4/16,2150,2150,2116,2121,1895.831665,1191664
2015/4/17,2153,2170,2124,2134,1907.451416,1155426
2015/4/20,2141,2155,2129,2144,1916.390015,719394
2015/4/21,2149,2173,2144,2163,1933.372803,564805
2015/4/22,2164,2173,2131,2151,1922.646851,601118
2015/4/23,2147,2189,2147,2167,1936.948486,555226
2015/4/24,2164,2201,2164,2198,1964.657349,712552
2015/4/27,2187,2196,2157.25,2170,1939.629761,624415
2015/4/28,2168,2174,2143,2159,1929.797485,565101
2015/4/29,2162,2187,2119,2119,1894.044067,762721
2015/4/30,2119,2152,2108,2125,1899.406982,994625
2015/5/1,2119,2119,2070,2084,1862.759644,901841
2015/5/5,2084,2116,2083.530029,2085,1863.653442,1240733
2015/5/6,2081,2083,2047,2072,1852.033569,927468
2015/5/7,2069,2075,2038,2066,1846.670532,867723
2015/5/8,2107,2151,2102,2151,1922.646851,1273059
2015/5/11,2153,2160,2131,2135,1908.345337,646146
2015/5/12,2126,2135.360107,2087,2126,1900.301025,788197
2015/5/13,2126,2164,2122,2158,1928.903809,1358792
2015/5/14,2151,2168.959961,2139,2149,1920.859131,415175
2015/5/15,2144,2184,2144,2166,1936.054565,743257
2015/5/18,2172,2189,2152,2174,1943.2052,545777
2015/5/19,2173,2198,2172,2185,1953.037354,515517
2015/5/20,2182,2185.949951,2159,2179,1947.674438,577542
2015/5/21,2178,2192,2161,2182,1950.356079,550460
