Date,Open,High,Low,Close,Adj Close,Volume
2015/2/23,2020,2045,2003.160034,2032,1884.666138,436048
2015/2/24,2032,2038,1981,1998,1853.13147,1309134
2015/2/25,1996,2007,1992,2005,1859.623779,338330
2015/2/26,2000,2021,1977,2019,1872.608887,644851
2015/2/27,2011,2024,2007,2016,1869.826416,518592
2015/3/2,2007,2043,2005,2025,1878.173706,754143
2015/3/3,2020,2029,1942,1944,1803.046753,1017575
2015/3/4,1937,1977,1920,1975,1831.799194,790344
2015/3/5,1978,2009,1972,2001,1855.91394,552406
2015/3/6,2000,2018,2000,2010,1864.261475,964812
2015/3/9,1997,2008,1965.359985,1969,1826.234131,515052
2015/3/10,1970,1995.01001,1944,1946,1804.901733,595042
2015/3/11,1955,1969.640015,1939,1956,1814.176514,526387
2015/3/12,1960,1978,1946,1967,1824.379028,2194768
2015/3/13,1945,1953,1927,1940,1799.336914,819247
2015/3/16,1942,1951,1930,1945,1803.974365,918525
2015/3/17,1942,1961,1935,1950,1808.611816,608851
2015/3/18,1949,1991,1949,1984,1840.146484,709248
2015/3/19,1995,2006.01001,1985,1996,1851.276489,602523
2015/3/20,2006,2006,1979,1984,1840.146484,610287
2015/3/23,1985,1993,1979,1989,1844.784058,493891
2015/3/24,1989,2000.02002,1983,1993,1848.494141,522144
2015/3/25,1970,1978,1954,1958,1816.031738,910066
2015/3/26,1944,1958,1937,1948,1806.756714,1687396
2015/3/27,1950,1963,1923,1927,1787.279419,621430
2015/3/30,1941,1956,1921.339966,1940,1799.336914,696068
2015/3/31,1947,1988,1939,1950,1808.611816,1131178
2015/4/1,1941,1965.780029,1936,1958,1816.031738,738815
2015/4/2,1950,1966,1936,1964,1821.59668,400301
2015/4/7,1964,1994,1964,1989,1844.784058,414587
2015/4/8,1995,1995,1970,1985,1841.074097,362632
2015/4/9,1995,2004,1982.97998,2004,1858.696533,445646
2015/4/10,2002,2013,1991,2009,1863.333984,547165
2015/4/13,2002,2012,1995,2003,1857.768799,297637
2015/4/14,1993,2010,1986,1992,1847.56665,293899
2015/4/15,1990,2002,1985,1996,1851.276489,458323
2015/4/16,2003,2003,1973,1980,1836.436646,494225
2015/4/17,1973,1997,1963,1976,1832.726685,743697
2015/4/20,1976,1996.560059,1976,1986,1842.001465,795009
2015/4/21,1994,2033,1991.319946,2019,1872.608887,839036
2015/4/22,2060,2086,2044,2074,1923.621094,1144524
2015/4/23,2075,2089,2041,2052,1903.216064,671334
2015/4/24,2050,2069,2050,2060,1910.636108,374933
2015/4/27,2066,2090.219971,2049,2083,1931.968384,467397
2015/4/28,2083,2094,2041,2060,1910.636108,474218
2015/4/29,2066,2082,2054,2076,1925.476074,1019538
2015/4/30,2051,2079,2045,2078,1951.537109,1163245
2015/5/1,2070,2084.360107,2044,2055,1929.93689,399949
2015/5/5,2055,2069,2047,2047,1922.423706,759139
2015/5/6,2040,2054,2034,2052,1927.119385,600826
2015/5/7,2041,2071,2025,2064,1938.389404,626177
2015/5/8,2117,2171,2114.199951,2140,2009.763916,974587
2015/5/11,2139,2154,2119,2130,2000.372803,494155
2015/5/12,2120,2132,2086,2106,1977.83313,570607
2015/5/13,2108,2186.149902,2105,2149,2018.216309,920088
2015/5/14,2144,2165,2124,2162,2030.425049,430103
2015/5/15,2167,2179,2148,2154,2022.911987,731452
2015/5/18,2153,2173,2148,2169,2036.998901,364072
2015/5/19,2175,2188,2165.639893,2173,2040.755615,591060
2015/5/20,2177,2181,2161,2165,2033.242554,499948
2015/5/21,2155,2176.439941,2150,2176,2043.57312,541968
2015/5/22,2198,2213,2190,2208,2073.625488,645543
2015/5/26,2208,2217,2190,2192,2058.599609,668310
2015/5/27,2196,2242,2196,2226,2090.530029,639332
2015/5/28,2216,2239,2216,2238,2101.799805,476031
2015/5/29,2235,2257,2213,2217,2082.077881,714635
2015/6/1,2218,2244,2208,2209,2074.564453,712820
2015/6/2,2225,2235,2187,2211,2076.443115,636669
2015/6/3,2214,2228,2208,2219,2083.956055,390143
2015/6/4,2208,2213,2181,2194,2060.477539,450190
2015/6/5,2185,2185.23999,2145,2153,2021.972778,449590
2015/6/8,2147,2165,2140,2152,2021.033813,378586
2015/6/9,2156,2172,2141,2145,2014.459595,440851
2015/6/10,2144,2192,2134,2186,2052.9646,516730
2015/6/11,2183,2218,2183,2191,2057.6604,794621
2015/6/12,2185,2188,2162,2168,2036.059814,400281
2015/6/15,2150,2158,2134,2135,2005.068237,522745
2015/6/16,2132,2139,2114,2130,2000.372803,623937
2015/6/17,2135,2154,2127,2127,1997.554932,456869
2015/6/18,2125,2143,2113,2143,2012.581421,363037
2015/6/19,2150,2169,2145.820068,2149,2018.216309,1164892
2015/6/22,2175,2208,2162.899902,2208,2073.625488,484719
2015/6/23,2214,2225,2204.810059,2205,2070.808105,489421
2015/6/24,2210,2210,2174,2184,2051.085938,859876
2015/6/25,2177,2208,2173,2187,2053.903564,503579
2015/6/26,2175,2180,2163,2171,2038.877319,445221
2015/6/29,2112,2156,2096,2130,2000.372803,656814
2015/6/30,2119,2129,2102,2110,1981.589844,607474
2015/7/1,2130,2153,2123,2146,2015.398804,478476
2015/7/2,2158,2166,2144,2145,2014.459595,355338
2015/7/3,2141,2152.139893,2129,2132,2002.250854,300656
2015/7/6,2118,2131,2108,2110,1981.589844,404604
2015/7/7,2121,2121,2079,2080,1953.415405,418015
2015/7/8,2091,2096,2054.580078,2060,1934.632446,698163
2015/7/9,2065,2106,2061,2095,1967.502563,719524
2015/7/10,2117,2126,2109,2120,1990.981079,676271
2015/7/13,2140,2162,2138.780029,2162,2030.425049,556584
2015/7/14,2161,2168,2136,2164,2032.303467,493247
2015/7/15,2173,2230,2167,2224,2088.651611,823760
2015/7/16,2233,2244,2223,2234,2098.043213,590181
2015/7/17,2240,2247,2228,2247,2110.251953,607173
