Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,241.949997,242.800003,238.149994,240.399994,239.115799,15219088
2015-02-24,241.500000,241.626007,236.750000,238.399994,237.126495,19998284
2015-02-25,238.550003,242.863007,238.332001,240.899994,239.613129,20908333
2015-02-26,240.649994,246.350006,240.100006,246.000000,244.685898,25260788
2015-02-27,246.000000,247.281998,244.449997,245.399994,244.089096,26779714
2015-03-02,244.949997,247.000000,244.449997,246.699997,245.382156,18094113
2015-03-03,246.750000,248.500000,244.649994,244.949997,243.641495,19523564
2015-03-04,244.850006,246.149994,241.750000,243.250000,241.950592,18857331
2015-03-05,242.949997,247.199997,242.050003,245.949997,244.636154,19973855
2015-03-06,245.000000,246.199997,242.399994,242.500000,241.204590,16454715
2015-03-09,241.250000,241.940002,239.250000,240.300003,239.016342,16863460
2015-03-10,239.550003,243.300003,234.899994,235.300003,234.043060,26656041
2015-03-11,235.949997,236.462006,233.750000,235.449997,234.192245,17773551
2015-03-12,235.649994,238.600006,235.449997,235.750000,234.490646,15277800
2015-03-13,236.050003,237.699997,231.399994,232.850006,231.606140,20174059
2015-03-16,233.550003,242.449997,233.184998,241.350006,240.060745,25181357
2015-03-17,241.100006,241.399994,233.479996,237.149994,235.883163,22951808
2015-03-18,237.800003,242.100006,236.835007,241.800003,240.508331,17885430
2015-03-19,242.899994,245.100006,242.000000,242.800003,241.502991,24188843
2015-03-20,244.949997,245.699997,243.500000,244.850006,243.542038,26330020
2015-03-23,245.649994,246.600006,244.000000,246.600006,245.282700,16825705
2015-03-24,244.699997,246.716003,242.149994,243.649994,242.348450,18786717
2015-03-25,242.649994,245.000000,238.550003,239.350006,238.071426,16963401
2015-03-26,237.399994,239.199997,236.255005,238.000000,236.728638,18764494
2015-03-27,237.800003,238.449997,234.800003,238.250000,236.977295,15631870
2015-03-30,240.949997,241.750000,238.617004,240.949997,239.662872,19951926
2015-03-31,241.850006,245.300003,240.850006,241.850006,240.558075,30404382
2015-04-01,240.600006,245.332993,239.940002,243.250000,241.950592,21802874
2015-04-02,242.750000,244.550003,241.582001,244.300003,242.994980,20514959
2015-04-07,244.300003,252.518005,244.300003,251.000000,249.659180,25719732
2015-04-08,250.100006,252.300003,246.149994,246.850006,245.531357,26916954
2015-04-09,247.750000,249.149994,245.100006,246.800003,245.481628,22195218
2015-04-10,248.000000,251.550003,246.550003,251.000000,249.659180,21038892
2015-04-13,248.899994,248.899994,243.350006,244.300003,242.994980,11703294
2015-04-14,243.100006,245.250000,241.800003,244.199997,242.895508,22603270
2015-04-15,243.800003,248.550003,241.899994,246.899994,245.581085,24400703
2015-04-16,248.350006,248.600006,240.399994,241.050003,239.762344,23641438
2015-04-17,240.500000,241.750000,234.699997,236.699997,235.435577,23042173
2015-04-20,235.000000,240.000000,231.500000,235.000000,233.744659,28180275
2015-04-21,236.699997,238.949997,233.350006,234.750000,233.495987,25901196
2015-04-22,234.699997,240.449997,220.199997,222.649994,221.460617,82708061
2015-04-23,224.000000,228.110992,222.595001,225.300003,224.096481,45552420
2015-04-24,224.149994,225.949997,222.399994,224.800003,223.599152,35507529
2015-04-27,224.600006,226.554001,215.500000,220.800003,219.620514,49601572
2015-04-28,221.449997,222.600006,217.199997,220.050003,218.874527,29250621
2015-04-29,220.000000,222.550003,218.550003,220.449997,219.272385,28326312
2015-04-30,221.800003,224.350006,220.050003,221.000000,219.819443,30276994
2015-05-01,218.750000,225.949997,218.750000,225.000000,223.798080,27222392
2015-05-05,225.000000,228.363007,225.000000,226.899994,225.687927,15904263
2015-05-06,225.949997,227.350006,224.712997,226.800003,225.588470,27999892
2015-05-07,227.000000,227.130005,223.699997,223.699997,222.505020,28518974
2015-05-08,227.100006,230.699997,226.300003,228.850006,227.627518,21845992
2015-05-11,229.500000,235.350006,229.350006,232.500000,231.258011,19185928
2015-05-12,230.800003,232.399994,226.250000,227.449997,226.234985,19439316
2015-05-13,227.949997,229.850006,223.600006,224.699997,223.499680,23240556
2015-05-14,223.550003,227.850006,222.929993,227.399994,226.185242,17646954
2015-05-15,227.600006,229.000000,223.850006,224.500000,223.300751,20638123
2015-05-18,224.800003,227.199997,220.699997,222.100006,220.913574,19649917
2015-05-19,222.899994,223.250000,220.000000,221.149994,219.968628,18998225
2015-05-20,221.000000,221.750000,219.250000,220.500000,219.322113,17870649
2015-05-21,221.800003,224.350006,219.100006,220.699997,219.521042,16406695
2015-05-22,220.050003,221.550003,218.550003,219.399994,218.227982,12174522
2015-05-26,219.399994,220.649994,214.100006,215.649994,214.498016,20334097
2015-05-27,214.649994,218.550003,214.649994,217.000000,215.840805,18249553
2015-05-28,215.649994,218.250000,214.686996,216.399994,215.244003,13568402
2015-05-29,216.649994,217.500000,212.050003,212.600006,211.464325,34084487
2015-06-01,212.500000,214.550003,209.199997,209.800003,208.679276,23123787
2015-06-02,209.350006,209.750000,204.449997,207.449997,206.341827,34401554
2015-06-03,206.449997,212.300003,206.449997,210.399994,209.276062,20455170
2015-06-04,210.399994,212.550003,206.649994,208.649994,207.535416,30190870
2015-06-05,207.750000,209.000000,205.550003,205.800003,204.700638,15784733
2015-06-08,205.100006,205.880005,202.018997,203.500000,202.412933,14683576
2015-06-09,203.899994,205.050003,200.768997,202.100006,201.020416,26314347
2015-06-10,202.199997,212.149994,201.729996,211.449997,210.320450,40459445
2015-06-11,210.500000,217.050003,210.500000,215.649994,214.498016,36191788
2015-06-12,214.399994,214.949997,212.250000,213.699997,212.558441,21003267
2015-06-15,211.800003,214.899994,211.800003,214.000000,212.856842,19404004
2015-06-16,213.500000,214.949997,210.250000,211.500000,210.370193,36439288
2015-06-17,211.000000,211.100006,207.800003,208.050003,206.938629,20253288
2015-06-18,209.050003,211.050003,206.699997,209.500000,208.380875,40963958
2015-06-19,210.000000,216.100006,209.199997,210.850006,209.723663,31116358
2015-06-22,214.399994,214.699997,210.399994,214.000000,212.856842,16117808
2015-06-23,216.149994,217.169006,212.699997,216.199997,215.045074,16573971
2015-06-24,217.600006,220.600006,215.350006,215.800003,214.647217,35358180
2015-06-25,214.000000,219.699997,213.449997,217.750000,216.586807,28008669
2015-06-26,224.300003,227.350006,221.350006,223.649994,222.455276,44203410
2015-06-29,220.000000,221.149994,218.399994,218.750000,217.581467,24284357
2015-06-30,217.500000,217.800003,212.000000,212.550003,211.414581,30985374
2015-07-01,213.800003,214.199997,209.300003,209.600006,208.480347,27151940
2015-07-02,209.949997,211.529999,208.304001,209.550003,208.430603,19045202
2015-07-03,208.850006,211.149994,206.000000,207.399994,206.292084,13095387
2015-07-06,205.300003,207.699997,204.600006,205.250000,204.153580,14991041
2015-07-07,207.100006,207.100006,199.600006,200.649994,199.578140,20329726
2015-07-08,203.149994,205.863007,201.500000,201.899994,200.821472,25480196
2015-07-09,202.100006,206.000000,200.500000,206.000000,204.899567,33909697
2015-07-10,208.699997,209.000000,206.449997,207.750000,206.640228,19133480
2015-07-13,209.800003,213.050003,208.800003,212.500000,211.364853,15624678
2015-07-14,213.350006,216.600006,212.550003,216.449997,215.293747,18216977
2015-07-15,216.550003,218.750000,214.699997,217.100006,215.940277,23884375
2015-07-16,217.699997,218.649994,216.850006,217.649994,216.487335,17770269
2015-07-17,218.050003,220.119003,217.255997,218.050003,216.885208,13450314
2015-07-20,217.250000,219.750000,216.850006,218.600006,217.432266,8830929
2015-07-21,218.500000,222.300003,217.550003,221.600006,220.416245,20743531
2015-07-22,220.449997,221.850006,218.500000,219.000000,217.830124,24069454
2015-07-23,220.350006,222.199997,218.386002,219.600006,218.426926,11889725
2015-07-24,218.800003,220.550003,218.250000,219.000000,217.830124,20221658
2015-07-27,217.699997,218.720993,213.050003,214.300003,213.155243,15451925
2015-07-28,215.250000,215.350006,211.649994,212.399994,211.265381,21805205
2015-07-29,213.100006,214.449997,211.500000,213.000000,211.862183,14332911
2015-07-30,213.399994,215.337006,212.792999,214.649994,213.503357,16010999
2015-07-31,215.750000,215.750000,211.119003,215.699997,214.547745,19347843
2015-08-03,214.699997,215.649994,210.800003,211.600006,210.469666,17456320
2015-08-04,210.600006,213.199997,209.750000,210.699997,209.574463,14296048
2015-08-05,210.550003,218.000000,210.550003,215.399994,214.249344,26373567
2015-08-06,214.949997,221.899994,214.397995,218.899994,217.730652,25790023
2015-08-07,218.850006,219.367004,215.800003,215.800003,214.647217,17197076
2015-08-10,216.550003,216.949997,210.949997,212.750000,211.613510,20547913
2015-08-11,212.149994,212.983994,209.550003,209.550003,208.430603,16789782
2015-08-12,205.649994,210.266998,202.800003,204.149994,203.059448,38946361
2015-08-13,205.949997,207.250000,202.000000,202.000000,200.920944,28892823
2015-08-14,202.449997,205.500000,201.850006,202.649994,201.567459,28427422
2015-08-17,204.250000,204.350006,201.199997,202.199997,201.119873,9455442
2015-08-18,201.649994,202.899994,198.300003,198.600006,197.539108,22125013
2015-08-19,198.250000,198.649994,194.600006,194.750000,193.709671,28208576
2015-08-20,193.600006,195.899994,191.000000,193.699997,192.665268,21736269
2015-08-21,191.800003,194.750000,188.199997,188.199997,187.194656,25642836
2015-08-24,182.600006,185.949997,175.850006,181.100006,180.132584,49282618
2015-08-25,183.000000,188.199997,183.000000,186.000000,185.006409,34432306
2015-08-26,184.600006,189.199997,182.500000,186.199997,185.205338,26348688
2015-08-27,190.600006,192.500000,186.699997,191.449997,190.427292,31360708
2015-08-28,191.399994,191.962997,187.524994,191.350006,190.327835,25776009
2015-09-01,191.350006,191.350006,183.500000,185.399994,184.409607,32029296
2015-09-02,185.399994,188.199997,184.600006,184.850006,183.862564,29703502
2015-09-03,186.800003,190.800003,186.600006,189.550003,188.537445,36099517
2015-09-04,188.000000,188.559998,185.949997,185.949997,184.956680,20878875
2015-09-07,189.600006,189.600006,183.837997,185.949997,184.956680,23882812
2015-09-08,187.500000,190.850006,186.399994,189.000000,187.990387,22577428
2015-09-09,192.250000,193.399994,190.787994,191.199997,190.178635,15741742
2015-09-10,189.399994,189.949997,184.850006,185.550003,184.558823,24898055
2015-09-11,185.850006,186.026001,180.800003,181.350006,180.381256,16180220
2015-09-14,181.850006,184.000000,178.449997,178.449997,177.496735,20889410
2015-09-15,178.300003,179.462997,172.899994,177.000000,176.054489,27474385
2015-09-16,178.300003,180.270004,177.649994,179.199997,178.242737,22405114
2015-09-17,180.000000,180.899994,175.750000,176.250000,175.308487,17305054
2015-09-18,176.050003,176.520004,172.100006,174.649994,173.717026,23730207
2015-09-21,173.750000,178.699997,173.623993,176.500000,175.557159,11674080
2015-09-22,176.000000,176.750000,168.199997,168.199997,167.301498,33428828
2015-09-23,168.100006,170.509995,166.987000,168.550003,167.649628,18786272
2015-09-24,168.449997,169.149994,164.100006,165.149994,164.267776,27932880
2015-09-25,167.449997,169.550003,166.000000,167.449997,166.555496,26217341
2015-09-28,167.899994,168.199997,165.050003,166.199997,165.312180,17389386
2015-09-29,164.350006,173.449997,164.050003,171.300003,170.384933,30951273
2015-09-30,174.949997,184.699997,174.699997,183.199997,182.221359,37673118
2015-10-01,180.850006,182.699997,177.649994,178.250000,177.297806,25462925
2015-10-02,179.750000,181.899994,176.649994,179.850006,178.889267,17349738
2015-10-05,183.899994,187.199997,182.000000,186.550003,185.553467,26401228
2015-10-06,185.550003,193.500000,185.550003,192.149994,191.123550,28597505
2015-10-07,192.199997,198.050003,184.839005,197.000000,195.947647,41036564
2015-10-08,194.399994,202.949997,194.399994,201.750000,200.672272,48467341
2015-10-09,203.600006,205.899994,201.899994,204.800003,203.705978,31135212
2015-10-12,203.699997,204.850006,201.300003,201.850006,200.771744,20255329
2015-10-13,202.850006,203.199997,193.300003,194.050003,193.013412,24414906
2015-10-14,193.250000,195.699997,192.199997,192.449997,191.421951,16297423
2015-10-15,193.300003,194.350006,190.468994,192.149994,191.123550,19569232
2015-10-16,192.699997,197.750000,191.949997,196.949997,195.897919,38450195
2015-10-19,196.399994,198.250000,192.949997,193.600006,192.565811,21570422
2015-10-20,193.199997,195.000000,188.649994,189.100006,188.089859,27972975
2015-10-21,189.100006,190.199997,186.050003,188.149994,187.144913,21081047
2015-10-22,187.300003,189.940002,187.300003,188.250000,187.244385,26197931
2015-10-23,189.350006,191.899994,188.600006,190.600006,189.581848,19655186
2015-10-26,190.199997,193.600006,188.949997,190.550003,189.532104,11150111
2015-10-27,189.800003,190.449997,185.199997,185.199997,184.210678,15904781
2015-10-28,185.750000,189.800003,184.449997,188.750000,187.741714,14645373
2015-10-29,188.800003,189.740005,184.899994,185.649994,184.658279,15102459
2015-10-30,186.550003,188.050003,181.949997,183.300003,182.320831,17862256
2015-11-02,182.000000,184.800003,182.000000,183.949997,182.967361,12519304
2015-11-03,183.500000,185.800003,182.899994,184.649994,183.663620,10343198
2015-11-04,184.899994,190.059998,184.550003,188.699997,187.691986,18617445
2015-11-05,188.800003,189.039993,183.899994,184.000000,183.017090,19198072
2015-11-06,184.800003,185.250000,181.494003,182.899994,181.922958,13544468
2015-11-09,182.500000,184.600006,178.399994,178.550003,177.596207,17392691
2015-11-10,176.500000,177.000000,172.050003,175.250000,174.313828,30314718
2015-11-11,176.000000,177.600006,171.927994,174.000000,173.070511,29315940
2015-11-12,173.350006,173.850006,171.100006,171.699997,170.782791,23241353
2015-11-13,171.050003,171.399994,166.949997,167.000000,166.107910,26319715
2015-11-16,165.300003,167.750000,164.949997,166.199997,165.312180,18588835
2015-11-17,170.100006,173.500000,168.050003,169.000000,168.097214,37865238
2015-11-18,168.100006,172.070999,166.315994,170.899994,169.987061,22802584
2015-11-19,171.649994,174.699997,171.100006,172.000000,171.081192,23749886
2015-11-20,172.649994,173.923996,171.250000,171.449997,170.534134,25352693
2015-11-23,170.550003,171.300003,164.350006,165.100006,164.218063,31670627
2015-11-24,164.550003,165.800003,163.300003,164.399994,163.521790,30597068
2015-11-25,165.000000,168.750000,164.500000,168.500000,167.599899,24264578
2015-11-26,169.100006,172.199997,168.610001,170.000000,169.091873,15395618
2015-11-27,169.050003,170.850006,167.750000,169.149994,168.246414,16815035
2015-11-30,169.149994,169.850006,166.699997,167.199997,166.306839,32771362
2015-12-01,167.600006,169.100006,166.100006,167.600006,166.704712,19370246
2015-12-02,168.149994,169.000000,166.550003,167.300003,166.406311,14902701
2015-12-03,166.750000,170.800003,163.899994,163.899994,163.024460,25405144
2015-12-04,163.500000,164.600006,161.050003,162.600006,161.731415,24550339
2015-12-07,162.600006,162.800003,156.649994,157.000000,156.161331,25620829
2015-12-08,156.500000,163.199997,155.000000,156.550003,155.713730,38330520
2015-12-09,156.449997,157.600006,153.000000,153.000000,152.182693,29381532
2015-12-10,152.100006,152.567001,149.850006,150.550003,149.745789,33640388
2015-12-11,149.899994,150.649994,143.339996,144.350006,143.578903,32326712
2015-12-14,145.500000,149.570007,142.949997,143.050003,142.285843,30588599
2015-12-15,144.850006,149.750000,143.098007,149.300003,148.502457,29104186
2015-12-16,150.199997,151.899994,144.850006,148.000000,147.209396,25146196
2015-12-17,150.850006,153.035995,144.699997,144.850006,144.076233,32971199
2015-12-18,143.550003,147.949997,142.600006,143.449997,142.683701,37998368
2015-12-21,141.100006,147.363998,141.000000,145.300003,144.523834,17967192
2015-12-22,146.100006,147.091995,142.649994,144.850006,144.076233,13519080
2015-12-23,146.149994,153.100006,145.649994,152.899994,152.083221,20642962
2015-12-24,151.750000,153.149994,149.949997,150.899994,150.093903,3130767
2015-12-29,150.899994,151.369995,148.350006,151.149994,150.342575,17705436
2015-12-30,151.199997,151.399994,149.927994,150.550003,149.745789,10814685
2015-12-31,150.399994,151.550003,147.199997,149.500000,148.701385,6738937
2016-01-04,149.500000,149.500000,141.649994,142.250000,141.490112,25646989
2016-01-05,146.800003,150.000000,143.500000,144.399994,143.628632,33235084
2016-01-06,144.100006,144.802002,138.649994,141.550003,140.793854,29127397
2016-01-07,138.600006,139.899994,137.000000,139.199997,138.456406,32085615
2016-01-08,142.000000,149.220001,142.000000,146.899994,146.115265,37742486
2016-01-11,147.550003,148.699997,145.449997,145.449997,144.673019,23372923
2016-01-12,151.750000,156.123001,151.699997,155.199997,154.370941,43323227
2016-01-13,156.100006,161.949997,154.000000,158.300003,157.454376,41022500
2016-01-14,170.000000,170.750000,164.042007,168.000000,167.102570,62893616
2016-01-15,168.500000,169.300003,160.350006,164.449997,163.571518,42723387
2016-01-18,163.550003,165.850006,160.000000,161.550003,160.687027,23564645
2016-01-19,163.800003,165.699997,156.602997,159.100006,158.250107,45052637
2016-01-20,157.449997,158.100006,150.949997,152.399994,151.585892,64879966
2016-01-21,152.649994,156.800003,150.699997,156.050003,155.216400,27978043
2016-01-22,158.500000,161.750000,154.649994,160.550003,159.692368,35802912
2016-01-25,161.100006,161.699997,154.850006,155.699997,154.868271,22003025
2016-01-26,154.100006,161.199997,152.949997,160.350006,159.493439,27375850
2016-01-27,159.550003,161.550003,156.500000,161.000000,160.139954,23451042
2016-01-28,160.199997,167.500000,159.000000,166.199997,165.312180,35242398
2016-01-29,168.250000,173.399994,165.250000,173.399994,172.473709,53731765
2016-02-01,173.850006,174.649994,168.050003,171.750000,170.832535,37377543
2016-02-02,170.800003,171.699997,166.000000,171.100006,170.186005,30812083
2016-02-03,170.350006,171.250000,166.315994,168.300003,167.400970,24129284
2016-02-04,170.350006,171.399994,166.399994,169.899994,168.992401,22977258
2016-02-05,171.000000,176.050003,170.699997,174.600006,173.667313,56810222
2016-02-08,176.000000,178.199997,169.800003,172.600006,171.677994,31412223
2016-02-09,171.699997,177.699997,170.662003,173.800003,172.871582,36394848
2016-02-10,175.100006,183.500000,174.199997,181.300003,180.331512,48711288
2016-02-11,179.899994,181.729996,177.399994,179.600006,178.640610,50407664
2016-02-12,180.199997,181.516998,173.199997,177.000000,176.054489,33316199
2016-02-15,181.000000,182.750000,177.800003,178.800003,177.844879,24362226
