Date,Open,High,Low,Close,Adj Close,Volume
"23-Feb-15	""6",6915.20,6943.61 ,6885.89 ,6912.16 ,6912.16 ,6912.16 
"24-Feb-15	""6",6912.16,6958.89 ,6899.59 ,6949.63 ,6949.63 ,6949.63 
"25-Feb-15	""6",6949.63,6955.41 ,6904.88 ,6935.38 ,6935.38 ,6935.38 
"26-Feb-15	""6",6935.38,6949.98 ,6920.54 ,6949.73 ,6949.73 ,6949.73 
"27-Feb-15	""6",6949.73,6967.24 ,6929.84 ,6946.66 ,6946.66 ,6946.66 
"2-Mar-15	""6",6946.66,6974.26 ,6924.33 ,6940.64 ,6940.64 ,6940.64 
"3-Mar-15	""6",6940.64,6963.55 ,6889.13 ,6889.13 ,6889.13 ,6889.13 
"4-Mar-15	""6",6889.13,6919.24 ,6862.87 ,6919.24 ,6919.24 ,6919.24 
"5-Mar-15	""6",6919.24,6968.64 ,6914.06 ,6961.14 ,6961.14 ,6961.14 
"6-Mar-15	""6",6961.14,6961.23 ,6911.80 ,6911.80 ,6911.80 ,6911.80 
"9-Mar-15	""6",6911.80,6911.80 ,6859.81 ,6876.47 ,6876.47 ,6876.47 
"10-Mar-15	""6",6876.47,6876.86 ,6702.84 ,6702.84 ,6702.84 ,6702.84 
"11-Mar-15	""6",6702.84,6738.95 ,6693.80 ,6721.51 ,6721.51 ,6721.51 
"12-Mar-15	""6",6721.51,6799.84 ,6721.51 ,6761.07 ,6761.07 ,6761.07 
"13-Mar-15	""6",6761.07,6777.77 ,6713.50 ,6740.58 ,6740.58 ,6740.58 
"16-Mar-15	""6",6740.58,6809.08 ,6740.58 ,6804.08 ,6804.08 ,6804.08 
"17-Mar-15	""6",6804.08,6846.90 ,6798.47 ,6837.61 ,6837.61 ,6837.61 
"18-Mar-15	""6",6837.61,6945.20 ,6837.26 ,6945.20 ,6945.20 ,6945.20 
"19-Mar-15	""6",6945.20,6982.79 ,6929.73 ,6962.32 ,6962.32 ,6962.32 
"20-Mar-15	""6",6962.32,7024.21 ,6960.81 ,7022.51 ,7022.51 ,7022.51 
"23-Mar-15	""7",7022.51,7037.67 ,6991.43 ,7037.67 ,7037.67 ,7037.67 
"24-Mar-15	""7",7037.67,7065.08 ,7012.51 ,7019.68 ,7019.68 ,7019.68 
"25-Mar-15	""7",7019.68,7035.11 ,6983.94 ,6990.97 ,6990.97 ,6990.97 
"26-Mar-15	""6",6990.97,6990.97 ,6876.84 ,6895.33 ,6895.33 ,6895.33 
"27-Mar-15	""6",6895.33,6910.55 ,6839.88 ,6855.02 ,6855.02 ,6855.02 
"30-Mar-15	""6",6855.02,6914.60 ,6855.02 ,6891.43 ,6891.43 ,6891.43 
"31-Mar-15	""6",6891.43,6910.07 ,6765.05 ,6773.04 ,6773.04 ,6773.04 
"1-Apr-15	""6",6773.04,6856.43 ,6765.40 ,6809.50 ,6809.50 ,6809.50 
"2-Apr-15	""6",6809.50,6849.91 ,6801.27 ,6833.46 ,6833.46 ,6833.46 
"7-Apr-15	""6",6833.46,6967.69 ,6833.46 ,6961.77 ,6961.77 ,6961.77 
"8-Apr-15	""6",6961.77,7012.06 ,6931.59 ,6937.41 ,6937.41 ,6937.41 
"9-Apr-15	""6",6937.41,7016.99 ,6937.41 ,7015.36 ,7015.36 ,7015.36 
"10-Apr-15	""7",7015.36,7095.36 ,7015.36 ,7089.77 ,7089.77 ,7089.77 
"13-Apr-15	""7",7089.77,7089.84 ,7046.68 ,7064.30 ,7064.30 ,7064.30 
"14-Apr-15	""7",7064.30,7086.06 ,7044.60 ,7075.26 ,7075.26 ,7075.26 
"15-Apr-15	""7",7075.26,7111.72 ,7058.34 ,7096.78 ,7096.78 ,7096.78 
"16-Apr-15	""7",7096.78,7119.35 ,7057.74 ,7060.45 ,7060.45 ,7060.45 
"17-Apr-15	""7",7060.45,7093.52 ,6979.32 ,6994.63 ,6994.63 ,6994.63 
"20-Apr-15	""6",6994.63,7067.84 ,6994.63 ,7052.13 ,7052.13 ,7052.13 
"21-Apr-15	""7",7052.13,7105.13 ,7030.00 ,7062.93 ,7062.93 ,7062.93 
"22-Apr-15	""7",7062.93,7092.34 ,6997.15 ,7028.24 ,7028.24 ,7028.24 
"23-Apr-15	""7",7028.24,7055.15 ,6995.79 ,7053.67 ,7053.67 ,7053.67 
"24-Apr-15	""7",7053.67,7102.59 ,7051.17 ,7070.70 ,7070.70 ,7070.70 
"27-Apr-15	""7",7070.70,7122.74 ,7025.27 ,7103.98 ,7103.98 ,7103.98 
